Recommendation_Rank,Recommendation_Score,Dataset_ID,Publication_Title,Year,PMID / DOI,Repository,Species,Tissue,Disease_or_Condition,Technology,Cell_Number,Neural_Related_Cell_Type,Marker_Genes,Evidence_Level,Neural_Cell_Prevalence,Cell_Communication_Analysis,Spatial_Location_Info,Application_Tags,Download_Link,Accession_or_Project_Link,Notes
259,38.65,CELLxGENE:066943a2-fdac-4b29-b348-40cede398e4e,The integrated Human Lung Cell Atlas,2022,10.1038/s41591-023-02327-2,CELLxGENE Discover,Homo sapiens,lung parenchyma; nose; respiratory airway,normal,scRNA-seq,584944,neuroendocrine cell | matched labels: pulmonary neuroendocrine cell,CHGA;CHGB;ASCL1;SYP;NCAM1,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,no,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/688185ad-11c2-4172-a53a-f4f1f4076860.h5ad ; collection: https://cellxgene.cziscience.com/collections/6f6d381a-7701-4781-935c-db10d30de293,https://cellxgene.cziscience.com/collections/6f6d381a-7701-4781-935c-db10d30de293,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
260,38.51,CELLxGENE:f14bc322-1322-4184-8d16-409557525ea5,Single-cell RNA-seq analysis of Interstitial Lung Disease (ILD) subtypes,2025,10.1038/s41588-024-01702-0,CELLxGENE Discover,Homo sapiens,lung,anthracosis; hypersensitivity pneumonitis; interstitial lung disease; lymphoid interstitial pneumonia; non-specific interstitial pneumonia; normal; pulmonary sarcoidosis,scRNA-seq,471905,neuroendocrine cell | matched labels: pulmonary neuroendocrine cell,CHGA;CHGB;ASCL1;SYP;NCAM1,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,no,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/c3d9262e-0dc5-4eca-bf20-56e6d96d0306.h5ad ; collection: https://cellxgene.cziscience.com/collections/07e12576-b41b-4350-adfc-059bfc4328ea,https://cellxgene.cziscience.com/collections/07e12576-b41b-4350-adfc-059bfc4328ea,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
261,38.45,CELLxGENE:a5ab6cde-46d4-4667-9b32-cfce54fa7a4e,Epithelial zonation along the mammalian small intestine defines five discrete metabolic domains,2024,10.1038/s41556-023-01337-z,CELLxGENE Discover,Mus musculus,small intestine,normal,scRNA-seq,19847,enteroendocrine cell | matched labels: enteroendocrine cell of small intestine,CHGA;CHGB;NEUROD1;PAX6;GCG,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,no,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/3dfc4a1f-5683-4f2a-8a19-bedf27daa3e5.h5ad ; collection: https://cellxgene.cziscience.com/collections/3db5617e-9f12-4eb4-8416-94893a0d7c46,https://cellxgene.cziscience.com/collections/3db5617e-9f12-4eb4-8416-94893a0d7c46,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
262,38.42,CELLxGENE:b6ee0939-b5b9-4e03-9d69-96fb6bf5d434,Epithelial zonation along the mammalian small intestine defines five discrete metabolic domains,2024,10.1038/s41556-023-01337-z,CELLxGENE Discover,Homo sapiens,small intestine,normal,scRNA-seq,19200,enteroendocrine cell | matched labels: enteroendocrine cell of small intestine,CHGA;CHGB;NEUROD1;PAX6;GCG,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,no,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/5b26f06a-326d-4f57-8f32-e9e5c5429176.h5ad ; collection: https://cellxgene.cziscience.com/collections/3db5617e-9f12-4eb4-8416-94893a0d7c46,https://cellxgene.cziscience.com/collections/3db5617e-9f12-4eb4-8416-94893a0d7c46,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
263,38.37,CELLxGENE:fd89be61-2869-4342-a86e-e1fce3a8f269,Spatiotemporal analysis of human intestinal development at single-cell resolution,2021,10.1016/j.cell.2020.12.016,CELLxGENE Discover,Homo sapiens,colon; hindgut; ileum,normal,scRNA-seq,17622,enteroendocrine cell | matched labels: enteroendocrine cell,CHGA;CHGB;NEUROD1;PAX6;GCG,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,no,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/9c8cf5c7-6528-4bf0-b482-7ef38e55fe27.h5ad ; collection: https://cellxgene.cziscience.com/collections/60358420-6055-411d-ba4f-e8ac80682a2e,https://cellxgene.cziscience.com/collections/60358420-6055-411d-ba4f-e8ac80682a2e,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
264,38.31,CELLxGENE:eb499fd8-7000-419f-8854-926b9b61b11f,Human CellCards Multi-Study CellRef 1.0 Atlas,2024,10.1038/s41467-023-40173-5,CELLxGENE Discover,Homo sapiens,lung,normal,scRNA-seq,347970,neuroendocrine cell | matched labels: pulmonary neuroendocrine cell,CHGA;CHGB;ASCL1;SYP;NCAM1,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,no,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/d6184057-2178-4946-b9b1-dc56543a77aa.h5ad ; collection: https://cellxgene.cziscience.com/collections/f86d6317-7215-409e-bfda-3f4ded3dadaa,https://cellxgene.cziscience.com/collections/f86d6317-7215-409e-bfda-3f4ded3dadaa,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
265,38.15,CELLxGENE:d68a8b48-abf0-4bd5-8834-155d34ec448a,Bronchopulmonary Dysplasia,2025,not reported in repository metadata,CELLxGENE Discover,Homo sapiens,middle lobe of right lung,bronchopulmonary dysplasia; normal,snRNA-seq,271381,neuroendocrine cell | matched labels: pulmonary neuroendocrine cell,CHGA;CHGB;ASCL1;SYP;NCAM1,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,no,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/83bbeaaf-f5e0-42ac-be8a-dbc4e0c0d433.h5ad ; collection: https://cellxgene.cziscience.com/collections/3a5dbf8a-9b3e-4309-b4c5-d8a024f83734,https://cellxgene.cziscience.com/collections/3a5dbf8a-9b3e-4309-b4c5-d8a024f83734,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
266,38.15,CELLxGENE:019c7af2-c827-4454-9970-44d5e39ce068,A proximal-to-distal survey of healthy adult human small intestine and colon epithelium by single-cell transcriptomics,2023,10.1016/j.jcmgh.2022.02.007,CELLxGENE Discover,Homo sapiens,ascending colon; descending colon; duodenum; ileum; jejunum; transverse colon,normal,scRNA-seq,12590,enteroendocrine cell | matched labels: enteroendocrine cell of colon; enteroendocrine cell of small intestine,CHGA;CHGB;NEUROD1;PAX6;GCG,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,no,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/487be01d-3df6-417f-83c5-ad2bff5c46e7.h5ad ; collection: https://cellxgene.cziscience.com/collections/64b24fda-6591-4ce1-89e7-33eb6c43ad7b,https://cellxgene.cziscience.com/collections/64b24fda-6591-4ce1-89e7-33eb6c43ad7b,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
267,38.06,CELLxGENE:edc8d3fe-153c-4e3d-8be0-2108d30f8d70,Local and systemic responses to SARS-CoV-2 infection in children and adults,2022,10.1038/s41586-021-04345-x,CELLxGENE Discover,Homo sapiens,bronchus; nasal cavity; trachea,COVID-19; normal,scRNA-seq,236977,neuroendocrine cell | matched labels: neuroendocrine cell,CHGA;CHGB;ASCL1;SYP;NCAM1,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,no,神经-免疫通讯;炎症,https://datasets.cellxgene.cziscience.com/f9efb73e-f116-46b5-a775-d4233e758024.h5ad ; collection: https://cellxgene.cziscience.com/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7,https://cellxgene.cziscience.com/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
268,38.02,CELLxGENE:569bce19-14c3-436f-bebf-543e5ea025dc,Integrated human endoderm-derived organoids cell atlas (HEOCA),2024,10.1038/s41588-025-02182-6,CELLxGENE Discover,Homo sapiens,alveolar sac; bronchus; lung; lung epithelium; nasopharynx,normal,scRNA-seq,221425,neuroendocrine cell | matched labels: neuroendocrine cell,CHGA;CHGB;ASCL1;SYP;NCAM1,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,no,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/a489d69e-dd99-4663-9cfd-3d7e0e876103.h5ad ; collection: https://cellxgene.cziscience.com/collections/6282a908-f162-44a2-99a3-8a942e4271b2,https://cellxgene.cziscience.com/collections/6282a908-f162-44a2-99a3-8a942e4271b2,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
269,37.88,CELLxGENE:2491629a-bde0-46ad-a073-e34fcb516857,Tabula Muris Senis,2021,10.1038/s41586-020-2496-1,CELLxGENE Discover,Mus musculus,large intestine,normal,scRNA-seq,8311,enteroendocrine cell | matched labels: enteroendocrine cell,CHGA;CHGB;NEUROD1;PAX6;GCG,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,no,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/368d2716-4c74-46a4-9f31-389faf5fe09b.h5ad ; collection: https://cellxgene.cziscience.com/collections/0b9d8a04-bb9d-44da-aa27-705bb65b54eb,https://cellxgene.cziscience.com/collections/0b9d8a04-bb9d-44da-aa27-705bb65b54eb,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
270,37.67,CELLxGENE:248cf7bf-508b-4c28-a2fd-cabe2ab956aa,Single-cell transcriptome analysis reveals differential nutrient absorption functions in human intestine,2022,10.1084/jem.20191130,CELLxGENE Discover,Homo sapiens,ileum,normal,scRNA-seq,5980,enteroendocrine cell | matched labels: enteroendocrine cell of colon,CHGA;CHGB;NEUROD1;PAX6;GCG,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,no,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/685f053a-2204-489a-b166-1d0190406be6.h5ad ; collection: https://cellxgene.cziscience.com/collections/ff668d5d-5b3f-49ee-a007-ff0664bf35ec,https://cellxgene.cziscience.com/collections/ff668d5d-5b3f-49ee-a007-ff0664bf35ec,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
271,37.57,CELLxGENE:ee195b7d-184d-4dfa-9b1c-51a7e601ac11,Charting human development using a multi-endodermal organ atlas and organoid models,2023,10.1016/j.cell.2021.04.028,CELLxGENE Discover,Homo sapiens,duodenum,normal,scRNA-seq,5200,enteroendocrine cell | matched labels: enteroendocrine cell,CHGA;CHGB;NEUROD1;PAX6;GCG,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,no,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/1f896487-282d-4303-a948-3cbdd1b721b0.h5ad ; collection: https://cellxgene.cziscience.com/collections/dfc09a93-bce0-4c77-893d-e153d1b7f9fa,https://cellxgene.cziscience.com/collections/dfc09a93-bce0-4c77-893d-e153d1b7f9fa,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
272,37.45,CELLxGENE:4e74d843-8d7a-497a-918a-f079ef141b6d,Single-cell transcriptome analysis reveals differential nutrient absorption functions in human intestine,2022,10.1084/jem.20191130,CELLxGENE Discover,Homo sapiens,ascending colon,normal,scRNA-seq,4329,enteroendocrine cell | matched labels: enteroendocrine cell of colon,CHGA;CHGB;NEUROD1;PAX6;GCG,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,no,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/a3680bf6-bafa-4d07-843a-361e179138a2.h5ad ; collection: https://cellxgene.cziscience.com/collections/ff668d5d-5b3f-49ee-a007-ff0664bf35ec,https://cellxgene.cziscience.com/collections/ff668d5d-5b3f-49ee-a007-ff0664bf35ec,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
273,37.37,CELLxGENE:80d7111d-f9fe-49fd-871e-6e618312c341,Single-cell transcriptome analysis reveals differential nutrient absorption functions in human intestine,2022,10.1084/jem.20191130,CELLxGENE Discover,Homo sapiens,rectum,normal,scRNA-seq,3797,enteroendocrine cell | matched labels: enteroendocrine cell of colon,CHGA;CHGB;NEUROD1;PAX6;GCG,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,no,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/70705d58-9054-48ef-ab49-a987b9b09ee6.h5ad ; collection: https://cellxgene.cziscience.com/collections/ff668d5d-5b3f-49ee-a007-ff0664bf35ec,https://cellxgene.cziscience.com/collections/ff668d5d-5b3f-49ee-a007-ff0664bf35ec,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
274,37.23,CELLxGENE:8c42cfd0-0b0a-46d5-910c-fc833d83c45e,A molecular cell atlas of the human lung from single cell RNA sequencing,2020,10.1038/s41586-020-2922-4,CELLxGENE Discover,Homo sapiens,blood; lung,normal,scRNA-seq,65662,neuroendocrine cell | matched labels: pulmonary neuroendocrine cell,CHGA;CHGB;ASCL1;SYP;NCAM1,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,no,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/f5568ea3-c249-4e4e-91f8-46abc30a5612.h5ad ; collection: https://cellxgene.cziscience.com/collections/5d445965-6f1a-4b68-ba3a-b8f765155d3a,https://cellxgene.cziscience.com/collections/5d445965-6f1a-4b68-ba3a-b8f765155d3a,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
275,37.13,CELLxGENE:10c0c666-bd99-4a5c-b697-f1be835f5427,Human Lung Allografts Experience Persistent Fibrogenic Shift Following Acute Cellular Rejection,2026,10.1016/j.healun.2026.02.1666,CELLxGENE Discover,Homo sapiens,lung,acute graft versus host disease; normal,scRNA-seq,56676,neuroendocrine cell | matched labels: neuroendocrine cell,CHGA;CHGB;ASCL1;SYP;NCAM1,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,no,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/af6e81be-e65c-4821-987e-e0eb6c8acd59.h5ad ; collection: https://cellxgene.cziscience.com/collections/e276e3e2-197a-4524-abd1-a753a48dc33a,https://cellxgene.cziscience.com/collections/e276e3e2-197a-4524-abd1-a753a48dc33a,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
276,37.11,CELLxGENE:66d15835-5dc8-4e96-b0eb-f48971cb65e8,Single-Cell Analysis of Human Pancreas Reveals Transcriptional Signatures of Aging and Somatic Mutation Patterns,2021,10.1016/j.cell.2017.09.004,CELLxGENE Discover,Homo sapiens,islet of Langerhans,normal,scRNA-seq,2544,enteroendocrine cell | matched labels: type A enteroendocrine cell; type D enteroendocrine cell,CHGA;CHGB;NEUROD1;PAX6;GCG,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,no,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/08d4b9cf-3425-4413-a30f-8f97fe87b1e1.h5ad ; collection: https://cellxgene.cziscience.com/collections/a238e9fa-2bdf-41df-8522-69046f99baff,https://cellxgene.cziscience.com/collections/a238e9fa-2bdf-41df-8522-69046f99baff,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
277,37.0,CELLxGENE:3de0ad6d-4378-4f62-b37b-ec0b75a50d94,LungMAP — Human data from a broad age healthy donor group,2021,10.7554/eLife.62522,CELLxGENE Discover,Homo sapiens,lung,normal,snRNA-seq,46500,neuroendocrine cell | matched labels: pulmonary neuroendocrine cell,CHGA;CHGB;ASCL1;SYP;NCAM1,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,no,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/92167705-4b81-4c4b-a0b5-abe08910415e.h5ad ; collection: https://cellxgene.cziscience.com/collections/625f6bf4-2f33-4942-962e-35243d284837,https://cellxgene.cziscience.com/collections/625f6bf4-2f33-4942-962e-35243d284837,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
